timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-04-01T07:41:30,16.4,1.3,10.448,16.4,1.3,10.448,15.2,1.7,14.54,15.8,2.0,5.039
2022-04-02T03:52:00,17.4,1.3,9.455,17.4,1.3,9.455,15.4,1.3,11.599,15.6,2.0,5.207
2022-04-02T08:34:30,16.8,1.6,14.538,16.8,1.6,14.538,15.2,1.6,11.704,15.6,1.9,4.172
2022-04-02T10:33:30,16.4,1.9,15.457,16.4,1.9,15.457,15.2,1.6,10.087,15.8,2.0,4.327
2022-04-03T10:17:30,16.4,1.3,11.843,16.4,1.3,11.843,15.0,1.5,15.63,14.2,1.5,4.817
2022-04-04T11:34:30,16.8,1.3,12.81,16.8,1.3,12.81,15.6,1.9,9.206,14.6,2.0,3.508
2022-04-04T14:12:30,16.8,1.3,13.358,16.8,1.3,13.358,15.6,1.7,9.944,14.4,0.7,2.677
2022-04-05T09:04:00,16.2,1.1,8.373,16.2,1.1,8.373,15.6,1.7,18.885,15.4,2.0,4.087
2022-04-06T10:47:30,15.8,1.3,11.064,15.8,1.3,11.064,14.8,1.6,10.237,15.0,2.4,3.452
2022-04-07T02:17:30,17.8,1.0,10.719,17.8,1.0,10.719,16.4,1.7,13.104,16.8,0.9,5.597
2022-04-07T07:10:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-04-07T11:51:00,16.0,0.8,4.658,16.0,0.8,4.658,15.0,1.8,9.741,16.2,1.6,3.9
2022-04-08T09:41:30,16.2,1.6,11.5,16.2,1.6,11.5,15.2,1.7,20.224,14.2,1.9,3.42
2022-04-09T03:26:00,16.6,1.3,8.893,16.6,1.3,8.893,16.2,1.4,9.351,-1.0,0.0,0.0
2022-04-09T10:37:00,16.6,1.2,10.463,16.6,1.2,10.463,16.0,1.7,10.545,16.8,2.7,5.151
2022-04-09T10:38:00,16.6,1.2,10.463,16.6,1.2,10.463,16.0,1.7,10.545,16.8,2.7,5.151
2022-04-09T10:38:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-04-10T11:27:30,16.0,1.4,9.881,16.0,1.4,9.881,15.6,1.6,11.679,16.4,2.8,3.395
2022-04-11T07:36:30,16.4,1.4,7.589,16.4,1.4,7.589,15.4,1.8,17.302,15.8,2.5,5.751
2022-04-12T07:10:30,15.2,1.2,10.944,15.2,1.2,10.944,14.8,1.5,11.833,12.8,0.6,3.152
2022-04-13T07:41:30,16.8,1.8,8.748,16.8,1.8,8.748,15.2,1.9,7.618,13.8,1.1,4.015
2022-04-14T07:18:00,16.4,2.0,13.999,16.4,2.0,13.999,15.2,2.2,14.227,13.4,1.7,3.73
2022-04-16T06:55:30,17.2,1.1,13.657,17.2,1.1,13.657,15.4,1.9,12.472,15.2,2.4,6.33
2022-04-16T10:19:00,17.2,1.1,13.657,17.2,1.1,13.657,15.6,2.0,17.092,15.0,2.3,6.581
2022-04-16T10:19:30,17.2,1.1,13.657,17.2,1.1,13.657,15.6,2.0,17.092,15.0,2.3,6.581
2022-04-17T05:33:00,17.2,1.6,8.399,17.2,1.6,8.399,16.2,1.4,8.005,16.4,0.7,2.821
2022-04-17T11:23:30,17.0,1.7,9.562,17.0,1.7,9.562,15.8,1.4,10.922,15.0,1.6,4.396
2022-04-18T07:40:30,16.4,2.0,8.279,16.4,2.0,8.279,15.6,1.4,9.086,14.8,2.3,7.051
2022-04-19T07:55:30,16.2,1.1,12.326,16.2,1.1,12.326,15.2,1.0,10.882,14.4,2.1,4.775
2022-04-20T07:44:00,15.6,1.6,10.057,15.6,1.6,10.057,15.6,1.8,13.886,15.6,1.6,4.044
2022-04-21T07:52:00,16.6,1.5,9.325,16.6,1.5,9.325,14.8,1.9,12.878,15.2,2.3,6.259
2022-04-22T07:21:30,17.4,1.3,8.252,17.4,1.3,8.252,15.6,1.7,14.228,16.0,1.4,3.704
2022-04-23T10:16:30,16.6,1.8,11.728,16.6,1.8,11.728,15.2,2.1,14.675,15.6,2.7,6.29
2022-04-23T11:20:30,16.4,1.9,12.2,16.4,1.9,12.2,15.2,2.0,14.38,15.8,2.6,6.155
2022-04-24T09:35:30,16.4,1.3,12.756,16.4,1.3,12.756,15.6,2.0,12.628,16.4,3.6,6.406
2022-04-25T07:43:30,15.6,1.8,8.207,15.6,1.8,8.207,15.2,1.7,15.833,14.4,0.8,2.885
2022-04-26T07:53:30,15.4,1.5,12.077,15.4,1.5,12.077,14.8,1.5,19.913,13.2,1.2,3.009
2022-04-27T07:38:00,15.4,1.9,7.47,15.4,1.9,7.47,14.6,1.9,11.363,15.2,1.9,4.665
2022-04-28T07:38:30,15.6,1.3,16.337,15.6,1.3,16.337,14.6,1.3,9.432,14.2,2.7,5.432
2022-04-29T07:10:30,16.0,1.1,14.731,16.0,1.1,14.731,15.0,1.5,15.717,15.0,2.5,5.568
2022-04-30T06:11:30,15.6,1.5,9.571,15.6,1.5,9.571,15.8,2.3,9.516,-1.0,0.0,1.983
2022-04-30T07:50:30,15.4,1.3,7.958,15.4,1.3,7.958,15.4,2.6,13.478,-1.0,0.0,2.391