DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2022-03-06T00:00:00,2022-03-06T10:26:03.215,79,25,30,24,30,30,40,READY,false
2022-03-07T00:00:00,2022-03-07T19:16:45.782,79,24,30,25,30,30,40,READY,false
2022-03-08T00:00:00,2022-03-08T08:39:08.889,81,26,30,25,30,30,40,READY,false
2022-03-09T00:00:00,2022-03-09T06:57:17.443,81,26,30,21,30,34,40,READY,false
2022-03-10T00:00:00,2022-03-10T07:43:26.935,83,28,30,22,30,33,40,READY,false
2022-03-11T00:00:00,2022-03-11T09:04:16.324,80,28,30,19,30,33,40,READY,false
2022-03-12T00:00:00,2022-03-12T09:48:10.659,72,21,30,21,30,30,40,READY,false
2022-03-13T00:00:00,2022-03-13T10:19:42.496,82,28,30,19,30,35,40,READY,false
2022-03-14T00:00:00,2022-03-14T10:42:37.856,80,28,30,23,30,29,40,READY,false
2022-03-15T00:00:00,2022-03-15T11:46:22.87,86,25,30,25,30,36,40,READY,false
2022-03-16T00:00:00,2022-03-16T07:51:43.14,79,25,30,26,30,28,40,READY,false
2022-03-17T00:00:00,2022-03-17T07:45:32.869,76,23,30,21,30,32,40,READY,false
2022-03-18T00:00:00,2022-03-18T07:39:45.55,83,25,30,26,30,32,40,READY,false
2022-03-19T00:00:00,2022-03-19T09:29:49.723,84,28,30,27,30,29,40,READY,false
2022-03-20T00:00:00,2022-03-20T10:31:42.922,79,27,30,21,30,31,40,READY,false
2022-03-21T00:00:00,2022-03-21T07:08:00.693,75,26,30,19,30,30,40,READY,false
2022-03-22T00:00:00,2022-03-22T08:18:12.305,73,21,30,20,30,32,40,READY,false
2022-03-23T00:00:00,2022-03-23T07:32:50.765,79,21,30,21,30,37,40,READY,false
2022-03-24T00:00:00,2022-03-24T09:07:20.559,80,25,30,25,30,30,40,READY,false
2022-03-25T00:00:00,2022-03-25T09:00:56.182,79,22,30,24,30,33,40,READY,false
2022-03-26T00:00:00,2022-03-26T10:40:38.744,77,25,30,21,30,31,40,READY,false
2022-03-27T00:00:00,2022-03-27T10:48:21.567,78,27,30,21,30,30,40,READY,false
2022-03-28T00:00:00,2022-03-28T17:22:44.97,73,23,30,20,30,30,40,READY,false
2022-03-29T00:00:00,2022-03-29T06:17:29.938,82,28,30,24,30,30,40,READY,false
2022-03-30T00:00:00,2022-03-30T06:34:27.871,82,30,30,20,30,32,40,READY,false
2022-03-31T00:00:00,2022-03-31T10:25:21.309,70,23,30,17,30,30,40,READY,false
2022-04-01T00:00:00,2022-04-01T20:57:00.251,70,21,30,18,30,31,40,READY,false
2022-04-02T00:00:00,2022-04-02T09:34:52.388,76,26,30,23,30,27,40,READY,false
2022-04-03T00:00:00,2022-04-03T09:19:02.793,75,25,30,23,30,27,40,READY,false
2022-04-04T00:00:00,2022-04-04T13:13:31.26,0,0,0,0,0,0,0,NO_DATA,true
2022-04-05T00:00:00,2022-04-05T09:41:07.22,72,26,30,22,30,24,40,READY,false
2022-04-06T00:00:00,2022-04-06T09:48:24.84,67,21,30,22,30,24,40,READY,false
2022-04-07T00:00:00,2022-04-07T11:11:55.076,63,21,30,18,30,24,40,READY,false
2022-04-08T00:00:00,2022-04-08T08:42:11.228,68,28,30,19,30,21,40,READY,false
2022-04-09T00:00:00,2022-04-09T15:52:00.195,59,18,30,19,30,22,40,READY,false
2022-04-10T00:00:00,2022-04-10T10:28:05.269,64,25,30,20,30,19,40,READY,false
2022-04-11T00:00:00,2022-04-11T07:01:45.225,67,21,30,28,30,18,40,READY,false
2022-04-12T00:00:00,2022-04-12T06:30:12.261,68,21,30,25,30,22,40,READY,false
2022-04-13T00:00:00,2022-04-13T17:37:44.892,70,24,30,18,30,28,40,READY,false
2022-04-14T00:00:00,2022-04-14T06:56:46.196,68,23,30,18,30,27,40,READY,false
2022-04-15T00:00:00,2022-04-15T07:25:08.622,72,18,30,22,30,32,40,READY,false
2022-04-16T00:00:00,2022-04-16T09:20:39.312,82,25,30,24,30,33,40,READY,false
2022-04-17T00:00:00,2022-04-17T10:24:17.362,79,25,30,16,30,38,40,READY,false
2022-04-18T00:00:00,2022-04-18T18:14:43.815,83,21,30,27,30,35,40,READY,false
2022-04-19T00:00:00,2022-04-19T18:54:34.923,84,23,30,26,30,35,40,READY,false
2022-04-20T00:00:00,2022-04-20T17:18:50.337,77,24,30,19,30,34,40,READY,false
2022-04-21T00:00:00,2022-04-21T17:55:38.882,81,24,30,25,30,32,40,READY,false
2022-04-22T00:00:00,2022-04-22T06:22:53.489,81,23,30,25,30,33,40,READY,false
2022-04-23T00:00:00,2022-04-23T14:09:14.241,76,28,30,19,30,29,40,READY,false
2022-04-24T00:00:00,2022-04-24T08:37:02.688,73,28,30,15,30,30,40,READY,false