free_trial_signup_date,google_analytics_medium,google_analytics_medium
2020-07-01,organic,8
2020-07-02,organic,9
2020-07-03,organic,20
2020-07-04,organic,5
2020-07-05,organic,12
2020-07-06,organic,11
2020-07-07,organic,11
2020-07-08,organic,12
2020-07-09,organic,6
2020-07-10,organic,11
2020-07-11,organic,8
2020-07-12,organic,9
2020-07-13,organic,9
2020-07-14,organic,11
2020-07-15,organic,4
2020-07-16,organic,6
2020-07-17,organic,9
2020-07-18,organic,7
2020-07-19,organic,7
2020-07-20,organic,11
2020-07-21,organic,11
2020-07-22,organic,8
2020-07-23,organic,7
2020-07-24,organic,15
2020-07-25,organic,21
2020-07-26,organic,17
2020-07-27,organic,13
2020-07-28,organic,15
2020-07-29,organic,6
2020-07-30,organic,4
2020-07-31,organic,20
2020-08-01,organic,11
2020-08-02,organic,6
2020-08-03,organic,15
2020-08-04,organic,9
2020-08-05,organic,12
2020-08-06,organic,8
2020-08-07,organic,20
2020-08-08,organic,9
2020-08-09,organic,10
2020-08-10,organic,8
2020-08-11,organic,9
2020-08-12,organic,4
2020-08-13,organic,7
2020-08-14,organic,6
2020-08-15,organic,11
2020-08-16,organic,8
2020-08-17,organic,12
2020-08-18,organic,6
2020-08-19,organic,10
2020-08-20,organic,5
2020-08-21,organic,12
2020-08-22,organic,6
2020-08-23,organic,6
2020-08-24,organic,12
2020-08-25,organic,13
2020-08-26,organic,8
2020-08-27,organic,6
2020-08-28,organic,19
2020-08-29,organic,6
2020-08-30,organic,9
2020-08-31,organic,6
2020-09-01,organic,11
2020-09-02,organic,6
2020-09-03,organic,6
2020-09-04,organic,9
2020-09-05,organic,8
2020-09-06,organic,7
2020-09-07,organic,17
2020-09-08,organic,12
2020-09-09,organic,9
2020-09-10,organic,4
2020-09-11,organic,10
2020-09-12,organic,11
2020-09-13,organic,8
2020-09-14,organic,9
2020-09-15,organic,14
2020-09-16,organic,9
2020-09-17,organic,10
2020-09-18,organic,9
2020-09-19,organic,15
2020-09-20,organic,14
2020-09-21,organic,9
2020-09-22,organic,13
2020-09-23,organic,9
2020-09-24,organic,6
2020-09-25,organic,7
2020-09-26,organic,6
2020-09-27,organic,12
2020-09-28,organic,15
2020-09-29,organic,11
2020-09-30,organic,11
2020-10-01,organic,11
2020-10-02,organic,11
2020-10-03,organic,13
2020-10-04,organic,14
2020-10-05,organic,13
2020-10-06,organic,12
2020-10-06,email,2
2020-10-06,(none),1
2020-10-07,organic,11
2020-10-07,email,1
2020-10-08,organic,6
2020-10-09,organic,14
2020-10-09,cpc,1
2020-10-10,organic,8
2020-10-11,organic,7
2020-10-12,organic,13
2020-10-13,organic,13
2020-10-14,organic,9
2020-10-15,organic,9
2020-10-15,(none),1
2020-10-15,email,1
2020-10-16,organic,6
2020-10-17,organic,16
2020-10-17,email,1
2020-10-18,organic,17
2020-10-19,organic,12
2020-10-20,organic,15
2020-10-20,cpc,1
2020-10-21,organic,9
2020-10-22,organic,7
2020-10-23,organic,16
2020-10-23,(none),1
2020-10-24,organic,11
2020-10-25,organic,9
2020-10-25,email,1
2020-10-26,cpc,6
2020-10-26,(none),5
2020-10-26,email,3
2020-10-26,organic,2
2020-10-27,cpc,5
2020-10-27,(none),4
2020-10-27,organic,3
2020-10-27,email,1
2020-10-28,(none),4
2020-10-28,cpc,4
2020-10-28,email,2
2020-10-28,organic,2
2020-10-29,(none),4
2020-10-29,cpc,1
2020-10-30,cpc,7
2020-10-30,(none),5
2020-10-30,email,2
2020-10-30,organic,2
2020-10-31,cpc,4
2020-10-31,(none),3
2020-10-31,email,1
2020-11-01,(none),5
2020-11-01,email,4
2020-11-01,cpc,1
2020-11-01,organic,1
2020-11-02,(none),7
2020-11-02,cpc,7
2020-11-02,organic,6
2020-11-02,email,2
2020-11-02,social,1
2020-11-03,organic,3
2020-11-03,cpc,2
2020-11-03,(none),1
2020-11-03,email,1
2020-11-04,(none),2
2020-11-04,cpc,1
2020-11-04,email,1
2020-11-04,social,1
2020-11-05,organic,5
2020-11-05,(none),4
2020-11-05,email,2
2020-11-05,cpc,1
2020-11-06,cpc,8
2020-11-06,organic,6
2020-11-06,(none),5
2020-11-06,email,2
2020-11-07,(none),3
2020-11-07,organic,3
2020-11-07,cpc,2
2020-11-07,email,2
2020-11-08,(none),6
2020-11-08,cpc,4
2020-11-08,organic,2
2020-11-08,email,1
2020-11-08,social,1
2020-11-09,cpc,4
2020-11-09,email,3
2020-11-09,(none),2
2020-11-09,organic,2
2020-11-10,email,3
2020-11-10,organic,2
2020-11-10,(none),1
2020-11-10,cpc,1
2020-11-10,social,1
2020-11-11,cpc,4
2020-11-11,organic,3
2020-11-11,email,2
2020-11-11,(none),1
2020-11-12,(none),3
2020-11-12,email,2
2020-11-12,cpc,1
2020-11-13,organic,2
2020-11-13,(none),1
2020-11-13,cpc,1
2020-11-13,email,1
2020-11-14,(none),4
2020-11-14,cpc,3
2020-11-14,email,1
2020-11-14,organic,1
2020-11-15,(none),4
2020-11-15,cpc,3
2020-11-15,organic,2
2020-11-16,(none),4
2020-11-16,cpc,3
2020-11-16,email,2
2020-11-16,organic,1
2020-11-17,cpc,5
2020-11-17,email,5
2020-11-17,organic,5
2020-11-17,(none),3
2020-11-18,(none),3
2020-11-18,cpc,3
2020-11-18,organic,3
2020-11-18,email,1
2020-11-19,email,5
2020-11-19,organic,4
2020-11-19,(none),2
2020-11-19,cpc,1
2020-11-20,(none),7
2020-11-20,cpc,5
2020-11-20,email,4
2020-11-20,organic,3
2020-11-20,social,1
2020-11-21,email,3
2020-11-21,cpc,2
2020-11-21,organic,2
2020-11-22,cpc,6
2020-11-22,(none),3
2020-11-22,email,1
2020-11-22,organic,1
2020-11-22,social,1
2020-11-23,(none),6
2020-11-23,cpc,6
2020-11-23,email,3
2020-11-23,organic,2
2020-11-23,social,1
2020-11-24,(none),5
2020-11-24,cpc,4
2020-11-24,organic,4
2020-11-24,email,1
2020-11-24,social,1
2020-11-25,email,5
2020-11-25,organic,5
2020-11-25,cpc,4
2020-11-25,(none),2
2020-11-26,(none),3
2020-11-26,email,3
2020-11-26,cpc,2
2020-11-26,organic,2
2020-11-27,cpc,9
2020-11-27,(none),5
2020-11-27,organic,4
2020-11-28,(none),5
2020-11-28,cpc,4
2020-11-28,email,3
2020-11-29,(none),8
2020-11-29,cpc,3
2020-11-29,email,2
2020-11-30,email,6
2020-11-30,cpc,3
2020-11-30,organic,3
2020-11-30,(none),2
2020-12-01,cpc,6
2020-12-01,email,4
2020-12-01,organic,4
2020-12-01,(none),2
2020-12-01,social,2
2020-12-02,cpc,3
2020-12-02,(none),2
2020-12-02,email,2
2020-12-02,organic,1
2020-12-03,organic,8
2020-12-03,cpc,6
2020-12-03,(none),4
2020-12-04,(none),7
2020-12-04,cpc,6
2020-12-04,organic,5
2020-12-04,email,1
2020-12-04,social,1
2020-12-05,(none),7
2020-12-05,cpc,4
2020-12-05,email,1
2020-12-06,cpc,7
2020-12-06,(none),6
2020-12-06,email,1
2020-12-06,organic,1
2020-12-07,cpc,5
2020-12-07,organic,4
2020-12-07,(none),3
2020-12-07,email,1
2020-12-08,cpc,4
2020-12-08,(none),3
2020-12-08,email,3
2020-12-08,social,1
2020-12-09,(none),6
2020-12-09,organic,3
2020-12-09,email,2
2020-12-09,cpc,1
2020-12-10,organic,4
2020-12-10,cpc,3
2020-12-10,(none),2
2020-12-10,email,1
2020-12-10,social,1
2020-12-11,(none),5
2020-12-11,cpc,5
2020-12-11,organic,1
2020-12-11,social,1
2020-12-12,(none),8
2020-12-12,cpc,6
2020-12-12,email,3
2020-12-13,(none),4
2020-12-13,cpc,4
2020-12-13,email,2
2020-12-13,organic,1
2020-12-14,cpc,5
2020-12-14,(none),3
2020-12-14,organic,2
2020-12-14,email,1
2020-12-15,(none),5
2020-12-15,email,3
2020-12-16,cpc,3
2020-12-16,organic,1
2020-12-17,cpc,2
2020-12-17,(none),1
2020-12-17,email,1
2020-12-17,organic,1
2020-12-18,cpc,8
2020-12-18,email,2
2020-12-18,(none),1
2020-12-18,organic,1
2020-12-19,email,3
2020-12-19,(none),2
2020-12-19,organic,1
2020-12-19,social,1
2020-12-20,cpc,5
2020-12-20,email,4
2020-12-20,(none),2
2020-12-20,organic,1
2020-12-21,cpc,4
2020-12-21,organic,3
2020-12-21,(none),2
2020-12-21,email,2
2020-12-22,(none),9
2020-12-22,cpc,5
2020-12-22,organic,1
2020-12-23,cpc,4
2020-12-23,(none),2
2020-12-23,organic,2
2020-12-23,email,1
2020-12-24,cpc,2
2020-12-24,organic,2
2020-12-24,(none),1
2020-12-24,email,1
2020-12-25,(none),4
2020-12-25,cpc,3
2020-12-25,organic,2
2020-12-25,social,1
2020-12-26,cpc,7
2020-12-26,(none),5
2020-12-26,organic,1
2020-12-26,social,1
2020-12-27,cpc,5
2020-12-27,(none),4
2020-12-27,email,1
2020-12-28,(none),26
2020-12-28,cpc,15
2020-12-28,email,13
2020-12-28,organic,9
2020-12-28,social,1
2020-12-29,(none),20
2020-12-29,cpc,18
2020-12-29,email,11
2020-12-29,organic,9
2020-12-29,social,1
2020-12-30,(none),17
2020-12-30,cpc,14
2020-12-30,email,8
2020-12-30,organic,3
2020-12-30,social,1
2020-12-31,(none),14
2020-12-31,email,8
2020-12-31,organic,6
2020-12-31,cpc,2
2021-01-01,(none),37
2021-01-01,cpc,11
2021-01-01,email,8
2021-01-01,organic,4
2021-01-01,social,2
2021-01-02,(none),21
2021-01-02,cpc,19
2021-01-02,email,12
2021-01-02,organic,2
2021-01-02,social,2
2021-01-03,(none),18
2021-01-03,cpc,18
2021-01-03,email,18
2021-01-03,organic,12
2021-01-04,(none),22
2021-01-04,email,15
2021-01-04,cpc,14
2021-01-04,organic,8
2021-01-04,social,1
2021-01-05,(none),18
2021-01-05,cpc,13
2021-01-05,email,10
2021-01-05,organic,8
2021-01-05,social,2
2021-01-06,email,22
2021-01-06,(none),13
2021-01-06,cpc,13
2021-01-06,organic,5
2021-01-07,(none),15
2021-01-07,email,12
2021-01-07,cpc,10
2021-01-07,organic,2
2021-01-08,(none),26
2021-01-08,cpc,17
2021-01-08,email,15
2021-01-08,organic,8
2021-01-09,(none),19
2021-01-09,email,18
2021-01-09,cpc,9
2021-01-09,organic,9
2021-01-09,social,1
2021-01-10,(none),19
2021-01-10,email,19
2021-01-10,cpc,15
2021-01-10,organic,5
2021-01-11,(none),20
2021-01-11,email,17
2021-01-11,cpc,13
2021-01-11,organic,5
2021-01-12,email,16
2021-01-12,cpc,13
2021-01-12,(none),11
2021-01-12,organic,4
2021-01-12,social,1
2021-01-13,(none),11
2021-01-13,cpc,7
2021-01-13,email,7
2021-01-13,organic,6
2021-01-14,cpc,15
2021-01-14,(none),13
2021-01-14,email,11
2021-01-14,organic,3
2021-01-15,(none),18
2021-01-15,cpc,16
2021-01-15,email,13
2021-01-15,organic,3
2021-01-16,(none),22
2021-01-16,email,20
2021-01-16,cpc,7
2021-01-16,organic,4
2021-01-16,social,2
2021-01-17,cpc,18
2021-01-17,email,14
2021-01-17,(none),8
2021-01-17,organic,8
2021-01-18,(none),17
2021-01-18,cpc,11
2021-01-18,email,8
2021-01-18,organic,5
2021-01-18,social,1
2021-01-19,email,10
2021-01-19,(none),4
2021-01-19,cpc,3
2021-01-19,organic,3
2021-01-20,email,12
2021-01-20,(none),4
2021-01-20,cpc,3
2021-01-20,organic,3
2021-01-21,(none),13
2021-01-21,cpc,11
2021-01-21,email,11
2021-01-21,organic,3
2021-01-22,(none),22
2021-01-22,email,22
2021-01-22,cpc,21
2021-01-22,organic,6
2021-01-23,(none),22
2021-01-23,cpc,18
2021-01-23,email,15
2021-01-23,organic,8
2021-01-23,social,2
2021-01-24,(none),25
2021-01-24,email,18
2021-01-24,cpc,14
2021-01-24,organic,9
2021-01-25,cpc,16
2021-01-25,(none),15
2021-01-25,email,13
2021-01-25,organic,5
